pen_num,year,fee_type,term,paid,due,receipt_no,fee_paid_date
5079,2025,Application,None,4557.66,112.79,21643.0,2024-05-27
6484,2025,Transport,1,2227.25,2430.15,76560.0,2024-07-20
3671,2022,Transport,2,7721.19,5096.1,12955.0,2024-12-06
2341,2022,School,None,9354.98,9331.06,87083.0,2024-12-03
8984,2021,Application,2,1062.94,3265.44,74444.0,2024-06-07
2052,2022,Transport,3,3804.73,3962.72,,2025-01-14
3809,2025,None,2,6012.74,9031.11,31371.0,2024-04-13
5284,2021,None,3,11739.89,3484.94,,2025-01-09
1141,2025,School,3,13525.43,4408.84,,2025-01-19
4590,2021,None,2,8176.48,5330.28,,2024-02-18
2254,2022,School,1,9778.16,8874.01,,2024-02-09
8235,2023,School,2,10867.18,2334.13,29766.0,2024-02-09
9979,2021,None,None,4475.94,8942.31,,2024-06-21
3176,2020,Transport,2,6097.63,1201.91,74761.0,2024-02-14
5064,2025,Transport,3,2414.63,622.8,22492.0,2024-08-04
1602,2025,None,1,1893.02,4657.11,,2024-10-27
7671,2022,Transport,None,9515.06,6707.76,,2024-05-17
5877,2020,School,3,1436.91,3260.29,,2024-11-07
6373,2021,School,None,3035.17,5572.93,79212.0,2024-03-30
3721,2023,Application,3,4945.67,7334.32,91217.0,2024-12-13
